Y,X
37.12030668,128.5392183
37.11854211,128.5391151
37.11714835,128.5382093
37.11563775,128.5369328
37.11588754,128.5374722
37.11630368,128.5385565
37.1164508,128.5393695
37.11419065,128.5338828
37.11390944,128.5328112
37.11379635,128.5319764
37.11447376,128.5309747
37.1139795,128.5294798
37.11437205,128.5296058
37.11465176,128.5299236
37.11397747,128.5296372
37.11415048,128.5286225
37.11466916,128.5290985
37.11549164,128.529596
37.11448436,128.5281455
37.11493648,128.5260086
37.11540165,128.5248676
37.1160864,128.5255676
37.11625183,128.5263641
37.11587046,128.5239685
37.11658572,128.5250109
37.11679631,128.5220323
37.11736125,128.5208369
37.11757852,128.5204053
37.11830426,128.5177337
37.11878421,128.517192
37.12111747,128.5172132
37.12205606,128.5169141
37.11823453,128.5171979
37.11735386,128.5119951
37.11428478,128.5095307
37.11508315,128.5076818
37.12576383,128.5277675
37.12799574,128.5259515
37.12848358,128.5256744
37.128705,128.5250965
37.11303289,128.6692498
37.11186106,128.6702506
37.11211492,128.6713362
37.11209069,128.6724156
37.11097386,128.6720704
37.11170383,128.6693402
37.11041032,128.6709837
37.10944165,128.6709132
37.1081942,128.6722441
37.10813253,128.6742198
37.10744654,128.6755841
37.10720522,128.6736932
37.10601699,128.6747357
37.10616684,128.6762449
37.10537032,128.6768235
37.1048016,128.6775394
37.10378725,128.6804556
37.1044199,128.6801575
37.10639847,128.6806455
37.10407007,128.6808429
37.10362133,128.6814348
37.10345811,128.6842855
37.10266277,128.6948117
37.09360508,128.7100041
37.09318649,128.7087295
37.09200121,128.7082966
37.09166149,128.7099886
37.07174975,128.749095
37.07018863,128.7536085
37.06982379,128.7551278
37.06943598,128.7559916
37.1180001,128.5432093
37.11784873,128.5437631
37.12021054,128.5475535
37.11968231,128.5474696
37.11861696,128.5478107
37.11741911,128.5480353
37.11808297,128.5481683
37.11738898,128.5484453
37.11694783,128.549799
37.11677498,128.5488926
37.11663597,128.5506519
37.11764144,128.5487753
37.11743356,128.5491705
37.11825185,128.5492926
37.1233298,128.5495635
37.12341333,128.5486876
37.12392022,128.5476459
37.12676847,128.5515183
37.12529263,128.554221
37.12483179,128.5545815
37.12592978,128.5539851
37.12625978,128.5549285
37.12650711,128.5556481
37.10809935,128.5449502
37.10604265,128.5455721
37.10296024,128.5437533
37.10129105,128.5449736
37.0984711,128.5464334
37.09545688,128.549056
37.093013,128.5508634
37.10138664,128.5424756
37.09962016,128.5418268
37.12055469,128.5512944
37.1305388,128.5728965
37.13067814,128.5735984
37.13101147,128.5747883
37.1312212,128.5744297
37.13390287,128.5732306
37.1346848,128.5724408
37.13579805,128.5713807
37.13740384,128.5713942
37.13510012,128.5735634
37.13383282,128.57418
37.13144606,128.5754753
37.13096912,128.5759408
37.13059093,128.5759245
37.1311529,128.5766873
37.13164859,128.5765907
37.13141343,128.5777589
37.13138969,128.5788654
37.13163817,128.5798256
37.13071356,128.5750015
37.12917721,128.5759486
37.13018181,128.5766249
37.13004213,128.5768809
37.12954807,128.5769395
37.13763387,128.5904528
37.13898839,128.5905599
37.14084077,128.5906606
37.14143599,128.5907856
37.141975,128.5910698
37.14229036,128.591068
37.14237313,128.5904395
37.14276591,128.5905433
37.14268235,128.5912309
37.14369448,128.5921778
37.14429099,128.5906963
37.14619775,128.5894306
37.14698513,128.5888309
37.15209336,128.5846437
37.15247447,128.5835993
37.15174344,128.5942741
37.15594156,128.5968106
37.15538509,128.5933066
37.15071566,128.5980035
37.14990325,128.5987855
37.14596799,128.5904388
37.1443265,128.5910712
37.14488447,128.5909507
37.14538206,128.5911327
37.1455725,128.5913759
37.14752792,128.6016337
37.14850498,128.6030021
37.14944542,128.604246
37.14982342,128.605357
37.15362692,128.6085722
37.15431454,128.609355
37.15497731,128.6099769
37.12076447,128.5603657
37.12232932,128.5647676
37.12206457,128.564945
37.1217542,128.5644829
37.12069211,128.5638057
37.11977949,128.563237
37.12166632,128.5652533
37.12153269,128.5660761
37.12180219,128.5658383
37.12240255,128.5669393
37.12310213,128.5661998
37.12313319,128.5692159
37.12274083,128.5690784
37.12303102,128.5696174
37.12349853,128.5700321
37.12348181,128.5694242
37.12330861,128.5687258
37.12363585,128.5687621
37.12382191,128.5694256
37.12348855,128.5676381
37.12402137,128.5688207
37.12436204,128.5686941
37.12437676,128.5680067
37.12417064,128.5694553
37.12403698,128.5702781
37.12359262,128.5707513
37.12340022,128.5709921
37.12286595,128.5721301
37.12246354,128.573005
37.12479854,128.5693248
37.12509864,128.5693704
37.12498843,128.5696986
37.12438197,128.5701657
37.12477626,128.5703271
37.12498901,128.5708449
37.12434951,128.5708303
37.12538668,128.5695606
37.12554726,128.5694261
37.12585674,128.5695281
37.12585379,128.570431
37.1262776,128.5696395
37.12733829,128.5698245
37.12720417,128.5706825
37.12778851,128.5699295
37.12806703,128.5699887
37.12850402,128.5700722
37.12885097,128.5701511
37.12875336,128.5707188
37.12923843,128.5695529
37.12943394,128.5702673
37.12952462,128.569798
37.12990505,128.5696455
37.1297908,128.5711284
37.12994959,128.5716381
37.13019903,128.5722762
37.12314034,128.5906459
37.12260481,128.5903534
37.12093208,128.5907122
37.1198492,128.5903365
37.1188519,128.59013
37.1172242,128.5899863
37.12249739,128.5969191
37.12213176,128.597308
37.12267341,128.5977301
37.12220632,128.5982097
37.12201585,128.5987219
37.12231714,128.5993456
37.12393803,128.5974881
37.12289574,128.5995322
37.12257625,128.5999235
37.12259274,128.6017044
37.12250557,128.6026547
37.12313002,128.6036144
37.12329125,128.6027683
37.12429369,128.6010103
37.12231105,128.6056265
37.12216534,128.6059076
37.11894799,128.6073036
37.11424255,128.6044872
37.11384737,128.6047278
37.11097432,128.6083078
37.11027383,128.6088878
37.11315471,128.6030664
37.11123196,128.6034224
37.11032999,128.6035792
37.10936408,128.604051
37.1063454,128.6035838
37.1057433,128.6037187
37.10379043,128.60397
37.10439856,128.6049699
37.09829604,128.6042731
37.09872541,128.6038365
37.10230504,128.6043802
37.09564499,128.6027705
37.1115921,128.6029407
37.0965303,128.6045944
37.09637936,128.6057609
37.0962753,128.6064589
37.09622997,128.6068122
37.09492105,128.606166
37.09098858,128.6029845
37.08675347,128.6023583
37.08304888,128.6011417
37.08076671,128.6018429
37.08027699,128.6022458
37.07979226,128.6024465
37.07928761,128.6027873
37.08146893,128.6017157
37.08194312,128.6021291
37.08211386,128.6024954
37.08394934,128.6015135
37.08529494,128.6006126
37.12188135,128.6109013
37.12176424,128.6116456
37.12113505,128.6213631
37.11972176,128.6241527
37.11963667,128.6250201
37.11908141,128.6249407
37.11877502,128.6246163
37.11708904,128.6236338
37.11284058,128.6267029
37.10916819,128.6290682
37.1085613,128.6304515
37.10849202,128.6313936
37.10785262,128.6322728
37.10748693,128.6352726
37.10104014,128.640273
37.09791514,128.6405009
37.09684292,128.640669
37.09594554,128.6400029
37.09528673,128.6396752
37.09440025,128.6392793
37.09305098,128.6381438
37.09263907,128.6380421
37.09224472,128.637647
37.09272766,128.6383955
37.09313247,128.6377885
37.09325985,128.6378615
37.11954673,128.6259941
37.12252697,128.6049012
37.11692465,128.6369776
37.11558913,128.6455876
37.11505771,128.648009
37.11295892,128.6500813
37.112519,128.6500506
37.11487207,128.6493718
37.11439538,128.6506075
37.11446987,128.6536663
37.11371663,128.6534108
37.11322875,128.6533468
37.11269821,128.6532734
37.11600363,128.6531104
37.1162644,128.6513695
37.11605219,128.6504339
37.11704383,128.6457752
37.11693463,128.6440684
37.11692048,128.6422455
37.117028,128.6408247
37.11771367,128.6423836
37.11763206,128.6405508
37.11770112,128.6394666
37.11923247,128.6430662
37.12107928,128.6437277
37.12387979,128.6446462
37.12734142,128.6443442
37.11816103,128.6459372
37.11898959,128.6513851
37.11871989,128.652313
37.11808593,128.6535987
37.11784945,128.6539198
37.11765607,128.6547031
37.11794632,128.6553704
37.11764381,128.6570317
37.11733939,128.6581037
37.11645577,128.660485
37.11522111,128.6625182
37.11581685,128.663001
37.11490473,128.6629135
37.11427024,128.6661523
37.11440709,128.6676333
37.11412148,128.6689615
37.11554557,128.67052
37.1158274,128.6701803
37.11539877,128.6688686
37.11695697,128.6695413
37.11503701,128.6677666
37.12603609,128.6669222
37.12701988,128.6671182
37.13393238,128.6702449
37.13390583,128.6702105
37.13304455,128.6699525
37.13442478,128.6696677
37.13525546,128.670499
37.13864654,128.6731254
37.14288696,128.6081927
37.13845862,128.6192008
37.1384628,128.618482
37.13806003,128.6169669
37.13843867,128.6159593
37.1390074,128.6162893
37.1398001,128.6162175
37.1400871,128.6168088
37.13951634,128.6157191
37.13927432,128.61505
37.13799169,128.6157022
37.13364962,128.6139247
37.13207002,128.6127321
37.12928926,128.614067
37.13027814,128.6134832
37.12515607,128.6120819
37.12479953,128.6069885
37.12514757,128.6059059
37.12538725,128.6052555
37.12590111,128.6053986
37.12594325,128.604699
37.12588822,128.6044377
37.12554413,128.6045654
37.12519793,128.6046819
37.12437399,128.6041497
37.12454834,128.6034164
37.12527574,128.6030098
37.12533188,128.6038549
37.12198067,128.5416122
37.12682045,128.5377215
37.12742748,128.5378084
37.12760621,128.5377473
37.12796276,128.5375224
37.12811022,128.5372244
37.12850962,128.5368654
37.13364981,128.5345513
37.14267612,128.5310057
37.14383363,128.53207
37.14426093,128.5322953
37.1442224,128.5330106
37.14477237,128.5348956
37.14554943,128.5375042
37.14576598,128.5388676
37.1463379,128.5399231
37.14638662,128.5417192
