X,Y
35.219027,129.108834
35.219767,129.109834
35.222002,129.111317
35.227046,129.11743
35.230898,129.125968
35.233667,129.127953
35.21343,129.106087
35.223593,129.088607
35.241926,129.085815
35.2249,129.090784
35.261935,129.088886
35.214534,129.099701
35.257977,129.085142
35.253198,129.087768
35.247308,129.088259
35.219386,129.088537
35.233474,129.089238
35.22842,129.085861
35.241678,129.086955
35.257942,129.088653
35.226257,129.090123
35.22749,129.093191
35.216779,129.106401
35.235291,129.086845
35.222511,129.09562
35.267793,129.088451
35.274492,129.089989
35.211064,129.105948
35.213632,129.103462
35.225672,129.094884
35.263462,129.089976
35.226253,129.084993
35.216012,129.093117
35.21613,129.098301
35.230177,129.093898
35.219939,129.091712
35.225941,129.118338
35.229363,129.120195
35.23901,129.085744
35.238523,129.085425
35.295553,129.111438
35.266254,129.090179
35.270259,129.089972
35.269593,129.090428
35.242982,129.094393
35.264228,129.091292
35.265641,129.090351
35.219631,129.100075
35.211038,129.103543
35.2233323,129.1119698
35.2206089,129.110422
35.2181946,129.0975358
35.2184951,129.0909352
35.2182036,129.0926612
35.2123057,129.1014559
35.2153256,129.1045539
35.2128183,129.1062871
35.2127397,129.1030874
35.2205702,129.1017451
35.2286509,129.0891292
35.2281834,129.0765295
35.220523,129.0851463
35.2232534,129.0852324
35.2314717,129.083672
35.2662541,129.090179
35.2662542,129.090179
35.2662543,129.090179
35.2662544,129.090179
35.2662545,129.090179
35.2662546,129.090179
35.2236133,129.0878139
35.2156031,129.0930817
35.2210914,129.1103858
35.2215981,129.1104275
35.2681445,129.0860174
35.2258934,129.0846832
35.2195399,129.0881153
35.2255419,129.0905519
35.2213549,129.1109561
35.251286,129.056585
35.256564,129.086912
35.263067,129.086323
35.225437,129.096287
35.228906,129.115923
35.229037,129.087472
35.21468,129.101567
35.2346549,129.0828259
35.2484415,129.1025315
35.2667931,129.1115047
35.2472817,129.0877939
35.2353852,129.0844832
35.234685,129.085332
35.232478,129.084817
35.268753,129.093178
35.276078,129.085693
35.228453,129.080589
35.247753,129.097213
35.21968,129.101435
35.268163,129.08673
35.254106,129.090155
35.22755,129.095001
35.272162,129.088226
35.247527,129.084945
35.2629374,129.080488
35.2577289,129.084763
35.2564007,129.0904087
35.2718009,129.0836691
35.2710431,129.0896469
35.2763664,129.0859669
35.2766622,129.0826338
35.2742211,129.0867033
35.2728301,129.0846916
35.2723385,129.084826
35.282776,129.0910597
35.3032706,129.1104013
35.2913055,129.1118383
35.2980584,129.111248
35.2515403,129.0514865
35.268129,129.0888334
35.2219567,129.112363
35.2905792,129.0989075
35.2380202,129.0774178
35.2251071,129.0881843
35.2146604,129.0995914
35.2362657,129.0862319
35.218053,129.106586
35.227545,129.077857
35.228739,129.093895
35.212156,129.10549
35.258162,129.086104
35.254576,129.086395
35.24418,129.084607
35.259111,129.086907
35.217276,129.101935
35.222142,129.096364
35.242684,129.087151
35.27565,129.086631
35.302503,129.113874
35.266709,129.087742
35.216489,129.106471
35.21896,129.106513
35.217211,129.103699
35.224388,129.113015
35.276186,129.112445
35.266677,129.086141
35.290914,129.098266
35.223639,129.11326
35.2487209,129.1022386
35.2668954,129.0859162
35.2763746,129.0866595
35.237867,129.082452
